weeks,ccf,antimicrobial,organism
20,NA,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
1,0.5466534362109255,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
2,0.5263265867271358,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
3,0.5037767103123114,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
4,0.48065117235325816,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
5,0.4575708040418964,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
6,0.43495398421744413,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
7,0.41279630279845136,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
8,0.3910322789421508,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
9,0.36952032753489367,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
10,0.3488550015307198,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
11,0.3289383215958461,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
12,0.30931796958974445,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
13,0.2900386612550849,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
14,0.2704161499846701,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
15,0.2519492133112663,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
16,0.2354141028414871,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
17,0.21964322404998798,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
18,0.20450006601269005,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
19,NA,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
20,NA,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
1,0.191319627208436,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
2,0.17956996350693522,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
3,0.16756078357223167,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
4,0.15422949078290835,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
5,0.13892924735220827,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
6,0.1212229550572088,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
7,0.1021938884275165,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
8,0.08296802877702528,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
9,0.0632583835867044,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
10,0.04467903365025844,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
11,0.028135161441785995,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
12,0.012358337300587252,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
13,-0.0032472357245361123,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
14,-0.018359000185620047,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
15,-0.03345574486130691,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
16,-0.048453940435116444,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
17,-0.06270620049045687,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
18,-0.07592415702638353,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
19,NA,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
20,NA,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
